time,distance,adult,disability,senior_citizen,student,workfare
After 7.45am,Up to 3.2 km,99,61,61,44,70
After 7.45am,3.3 km - 4.2 km,109,68,68,49,78
After 7.45am,4.3 km - 5.2 km,119,75,75,54,86
After 7.45am,5.3 km - 6.2 km,129,82,82,59,94
After 7.45am,6.3 km - 7.2 km,138,88,88,62,101
After 7.45am,7.3 km - 8.2 km,145,94,94,65,107
After 7.45am,8.3 km - 9.2 km,152,94,94,65,113
After 7.45am,9.3 km - 10.2 km,156,94,94,65,116
After 7.45am,10.3 km - 11.2 km,160,94,94,65,119
After 7.45am,11.3 km - 12.2 km,164,94,94,65,122
After 7.45am,12.3 km - 13.2 km,168,94,94,65,125
After 7.45am,13.3 km - 14.2 km,172,94,94,65,128
After 7.45am,14.3 km - 15.2 km,177,94,94,65,131
After 7.45am,15.3 km - 16.2 km,181,94,94,65,134
After 7.45am,16.3 km - 17.2 km,185,94,94,65,137
After 7.45am,17.3 km - 18.2 km,189,94,94,65,140
After 7.45am,18.3 km - 19.2 km,193,94,94,65,143
After 7.45am,19.3 km - 20.2 km,196,94,94,65,146
After 7.45am,20.3 km - 21.2 km,199,94,94,65,149
After 7.45am,21.3 km - 22.2 km,202,94,94,65,152
After 7.45am,22.3 km - 23.2 km,205,94,94,65,155
After 7.45am,23.3 km - 24.2 km,207,94,94,65,157
After 7.45am,24.3 km - 25.2 km,209,94,94,65,158
After 7.45am,25.3 km - 26.2 km,211,94,94,65,159
After 7.45am,26.3 km - 27.2 km,212,94,94,65,160
After 7.45am,27.3 km - 28.2 km,213,94,94,65,161
After 7.45am,28.3 km - 29.2 km,214,94,94,65,162
After 7.45am,29.3 km - 30.2 km,215,94,94,65,163
After 7.45am,30.3 km - 31.2 km,216,94,94,65,164
After 7.45am,31.3 km - 32.2 km,217,94,94,65,165
After 7.45am,32.3 km - 33.2 km,218,94,94,65,166
After 7.45am,33.3 km - 34.2 km,219,94,94,65,167
After 7.45am,34.3 km - 35.2 km,220,94,94,65,168
After 7.45am,35.3 km - 36.2 km,221,94,94,65,169
After 7.45am,36.3 km - 37.2 km,222,94,94,65,170
After 7.45am,37.3 km - 38.2 km,223,94,94,65,171
After 7.45am,38.3 km - 39.2 km,224,94,94,65,172
After 7.45am,39.3 km - 40.2 km,225,94,94,65,173
After 7.45am,Over 40.2 km,226,94,94,65,174
Before 7.45am,Up to 3.2 km,49,11,11,0,20
Before 7.45am,3.3 km - 4.2 km,59,18,18,0,28
Before 7.45am,4.3 km - 5.2 km,69,25,25,4,36
Before 7.45am,5.3 km - 6.2 km,79,32,32,9,44
Before 7.45am,6.3 km - 7.2 km,88,38,38,12,51
Before 7.45am,7.3 km - 8.2 km,95,44,44,15,57
Before 7.45am,8.3 km - 9.2 km,102,44,44,15,63
Before 7.45am,9.3 km - 10.2 km,106,44,44,15,66
Before 7.45am,10.3 km - 11.2 km,110,44,44,15,69
Before 7.45am,11.3 km - 12.2 km,114,44,44,15,72
Before 7.45am,12.3 km - 13.2 km,118,44,44,15,75
Before 7.45am,13.3 km - 14.2 km,122,44,44,15,78
Before 7.45am,14.3 km - 15.2 km,127,44,44,15,81
Before 7.45am,15.3 km - 16.2 km,131,44,44,15,84
Before 7.45am,16.3 km - 17.2 km,135,44,44,15,87
Before 7.45am,17.3 km - 18.2 km,139,44,44,15,90
Before 7.45am,18.3 km - 19.2 km,143,44,44,15,93
Before 7.45am,19.3 km - 20.2 km,146,44,44,15,96
Before 7.45am,20.3 km - 21.2 km,149,44,44,15,99
Before 7.45am,21.3 km - 22.2 km,152,44,44,15,102
Before 7.45am,22.3 km - 23.2 km,155,44,44,15,105
Before 7.45am,23.3 km - 24.2 km,157,44,44,15,107
Before 7.45am,24.3 km - 25.2 km,159,44,44,15,108
Before 7.45am,25.3 km - 26.2 km,161,44,44,15,109
Before 7.45am,26.3 km - 27.2 km,162,44,44,15,110
Before 7.45am,27.3 km - 28.2 km,163,44,44,15,111
Before 7.45am,28.3 km - 29.2 km,164,44,44,15,112
Before 7.45am,29.3 km - 30.2 km,165,44,44,15,113
Before 7.45am,30.3 km - 31.2 km,166,44,44,15,114
Before 7.45am,31.3 km - 32.2 km,167,44,44,15,115
Before 7.45am,32.3 km - 33.2 km,168,44,44,15,116
Before 7.45am,33.3 km - 34.2 km,169,44,44,15,117
Before 7.45am,34.3 km - 35.2 km,170,44,44,15,118
Before 7.45am,35.3 km - 36.2 km,171,44,44,15,119
Before 7.45am,36.3 km - 37.2 km,172,44,44,15,120
Before 7.45am,37.3 km - 38.2 km,173,44,44,15,121
Before 7.45am,38.3 km - 39.2 km,174,44,44,15,122
Before 7.45am,39.3 km - 40.2 km,175,44,44,15,123
Before 7.45am,Over 40.2 km,176,44,44,15,124
